date,cases,deaths,uf,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-04-07,94,2,RJ,513584,3303302,18.30275,0.0213
2020-04-07,7,0,RJ,190631,3303401,3.67202,
2020-04-07,38,2,RJ,821128,3303500,4.62778,0.0526
2020-04-07,3,0,RJ,44285,3303708,6.7743,
2020-04-07,20,1,RJ,306191,3303906,6.53187,0.05
2020-04-07,1,0,RJ,18847,3304102,5.30588,
2020-04-07,1,0,RJ,19683,3304110,5.08053,
2020-04-07,2,0,RJ,14302,3304128,13.98406,
2020-04-07,5,0,RJ,150319,3304144,3.32626,
2020-04-07,4,0,RJ,131341,3304201,3.04551,
2020-04-07,3,2,RJ,60201,3304300,4.98331,0.6667
2020-04-07,3,1,RJ,150674,3304524,1.99105,0.3333
2020-04-07,1251,59,RJ,6718903,3304557,18.61911,0.0472
2020-04-07,22,3,RJ,1084839,3304904,2.02795,0.1364
2020-04-07,1,0,RJ,36102,3305000,2.76993,
2020-04-07,12,1,RJ,472406,3305109,2.54019,0.0833
2020-04-07,3,0,RJ,104476,3305208,2.87147,
2020-04-07,1,0,RJ,18228,3305406,5.48607,
2020-04-07,2,0,RJ,82312,3305554,2.42978,
2020-04-07,1,0,RJ,34309,3305752,2.91469,
2020-04-07,7,0,RJ,182594,3305802,3.83364,
2020-04-07,1,0,RJ,81804,3306008,1.22243,
2020-04-07,2,0,RJ,76523,3306107,2.61359,
2020-04-07,58,2,RJ,273012,3306305,21.24449,0.0345
2020-04-07,1688,89,RJ,17264943,33,9.77704,0.0527
2020-04-07,8,0,RN,58017,2400208,13.78906,
2020-04-07,1,0,RN,35845,2401008,2.78979,
2020-04-07,1,0,RN,27774,2401107,3.60049,
2020-04-07,1,0,RN,9271,2401404,10.78632,
2020-04-07,1,0,RN,20493,2402303,4.87972,
2020-04-07,1,0,RN,10759,2402501,9.29454,
2020-04-07,3,0,RN,73497,2402600,4.0818,
2020-04-07,5,0,RN,28583,2403608,17.49292,
2020-04-07,4,0,RN,,,,
2020-04-07,1,0,RN,10116,2407005,9.88533,
2020-04-07,2,0,RN,80792,2407104,2.47549,
2020-04-07,1,0,RN,22451,2407807,4.45414,
2020-04-07,63,3,RN,297378,2408003,21.18516,0.0476
2020-04-07,116,2,RN,884122,2408102,13.12036,0.0172
2020-04-07,28,0,RN,261469,2403251,10.70873,
2020-04-07,1,0,RN,13277,2409100,7.53182,
2020-04-07,1,0,RN,24136,2411502,4.14319,
2020-04-07,11,1,RN,102400,2412005,10.74219,0.0909
2020-04-07,1,0,RN,43899,2412203,2.27796,
2020-04-07,1,0,RN,5971,2412708,16.74761,
2020-04-07,1,1,RN,12279,2413904,8.14399,1.0
2020-04-07,1,1,RN,10786,2414100,9.27128,1.0
2020-04-07,1,0,RN,4106,2411056,24.3546,
2020-04-07,254,8,RN,3506853,24,7.24296,0.0315
